t,wall,preemptions_total,kv_usage,running,waiting,waiting_capacity,waiting_deferred
0.0476,1784013295.1594818,75.0,0.0,0.0,0.0,0.0,0.0
0.2976,1784013295.4176419,75.0,0.0,0.0,0.0,0.0,0.0
0.5477,1784013295.6575723,75.0,0.0,0.0,0.0,0.0,0.0
0.7978,1784013295.9096205,75.0,0.0,0.0,0.0,0.0,0.0
1.0478,1784013296.1594694,75.0,0.0,0.0,0.0,0.0,0.0
1.2979,1784013296.4244769,75.0,0.0,0.0,0.0,0.0,0.0
1.548,1784013296.6643922,75.0,0.0,0.0,0.0,0.0,0.0
1.798,1784013296.9089005,75.0,0.0,0.0,0.0,0.0,0.0
2.0481,1784013297.1699154,75.0,0.0,0.0,0.0,0.0,0.0
2.2982,1784013297.4162455,75.0,0.0,0.0,0.0,0.0,0.0
2.5487,1784013297.6748977,75.0,0.0,0.0,0.0,0.0,0.0
2.7988,1784013298.2281454,75.0,0.0,0.0,0.0,0.0,0.0
3.1972,1784013298.3158643,75.0,0.0,0.0,0.0,0.0,0.0
3.4473,1784013298.5653288,75.0,0.03044816968867603,31.0,60.0,60.0,0.0
3.6974,1784013298.8103354,75.0,0.21621621621621623,91.0,65.0,65.0,0.0
3.9475,1784013299.0689394,75.0,0.21621621621621623,91.0,65.0,65.0,0.0
4.1976,1784013299.3182144,75.0,0.23375734768139833,91.0,65.0,65.0,0.0
4.4476,1784013299.579276,75.0,0.23375734768139833,91.0,65.0,65.0,0.0
4.6977,1784013299.811671,75.0,0.23375734768139833,91.0,65.0,65.0,0.0
4.9478,1784013300.0562952,75.0,0.24952570522190776,92.0,64.0,64.0,0.0
5.1979,1784013300.319128,75.0,0.24952570522190776,92.0,64.0,64.0,0.0
5.448,1784013300.6123636,75.0,0.2652629614654931,92.0,64.0,64.0,0.0
5.6981,1784013300.8227334,75.0,0.2652629614654931,92.0,64.0,64.0,0.0
5.9482,1784013301.0673053,75.0,0.2652629614654931,92.0,64.0,64.0,0.0
6.1982,1784013301.305516,75.0,0.28100021770907846,92.0,64.0,64.0,0.0
6.4483,1784013301.5780919,75.0,0.28100021770907846,92.0,64.0,64.0,0.0
6.6984,1784013301.8202777,75.0,0.28100021770907846,92.0,64.0,64.0,0.0
6.9485,1784013302.066284,75.0,0.2967685752495879,93.0,63.0,63.0,0.0
7.1986,1784013302.313249,75.0,0.2967685752495879,93.0,63.0,63.0,0.0
7.4486,1784013302.6344635,75.0,0.31250583149317324,93.0,63.0,63.0,0.0
7.6987,1784013302.8253722,75.0,0.31250583149317324,93.0,63.0,63.0,0.0
7.9488,1784013303.0520089,75.0,0.31250583149317324,93.0,63.0,63.0,0.0
8.1989,1784013303.359496,75.0,0.32827418903368266,93.0,63.0,63.0,0.0
8.4489,1784013303.574595,75.0,0.32827418903368266,93.0,63.0,63.0,0.0
