t,wall,preemptions_total,kv_usage,running,waiting,waiting_capacity,waiting_deferred
0.0477,1784012736.3496318,34.0,0.0,0.0,0.0,0.0,0.0
0.2978,1784012736.5565586,34.0,0.0,0.0,0.0,0.0,0.0
0.5479,1784012736.8583596,34.0,0.0,0.0,0.0,0.0,0.0
0.798,1784012737.1034415,34.0,0.0,0.0,0.0,0.0,0.0
1.0481,1784012737.3484523,34.0,0.0,0.0,0.0,0.0,0.0
1.2981,1784012737.5968587,34.0,0.0,0.0,0.0,0.0,0.0
1.5482,1784012737.8288755,34.0,0.0,0.0,0.0,0.0,0.0
1.7983,1784012738.1058402,34.0,0.0,0.0,0.0,0.0,0.0
2.0484,1784012738.3505247,34.0,0.0,0.0,0.0,0.0,0.0
2.2984,1784012738.5967727,34.0,0.0,0.0,0.0,0.0,0.0
2.5485,1784012738.861266,34.0,0.0,0.0,0.0,0.0,0.0
2.7986,1784012739.2532353,34.0,0.0010263427984946727,1.0,0.0,0.0,0.0
3.0487,1784012739.3516757,34.0,0.0010263427984946727,1.0,0.0,0.0,0.0
3.2988,1784012739.597167,34.0,0.5873479924112835,16.0,68.0,68.0,0.0
3.5488,1784012739.8556662,34.0,0.5873479924112835,16.0,68.0,68.0,0.0
3.7989,1784012740.1000433,34.0,0.5873479924112835,16.0,68.0,68.0,0.0
4.049,1784012740.349268,34.0,0.6032407551394894,16.0,68.0,68.0,0.0
4.299,1784012740.5957503,34.0,0.6032407551394894,16.0,68.0,68.0,0.0
4.5491,1784012740.8752928,34.0,0.6191335178676951,16.0,68.0,68.0,0.0
4.7992,1784012741.1000164,34.0,0.6191335178676951,16.0,68.0,68.0,0.0
5.0493,1784012741.3451722,34.0,0.6350262805959008,16.0,68.0,68.0,0.0
5.2993,1784012741.6468382,34.0,0.6350262805959008,16.0,68.0,68.0,0.0
5.5494,1784012741.8596177,34.0,0.6350262805959008,16.0,68.0,68.0,0.0
5.7995,1784012742.083339,34.0,0.7004945106210929,34.0,50.0,50.0,0.0
6.0495,1784012742.3576012,34.0,0.71685379280316,50.0,34.0,34.0,0.0
6.2996,1784012742.6046133,34.0,0.71685379280316,50.0,34.0,34.0,0.0
6.5497,1784012742.8900282,34.0,0.7331819736883027,66.0,18.0,18.0,0.0
6.7998,1784012743.1146684,34.0,0.7331819736883027,66.0,18.0,18.0,0.0
7.0499,1784012743.3564913,34.0,0.7494790532765216,82.0,2.0,2.0,0.0
7.3,1784012743.6024015,34.0,0.7523714738904612,84.0,0.0,0.0,0.0
7.55,1784012743.9281697,34.0,0.7528690946412465,84.0,0.0,0.0,0.0
7.8001,1784012744.1060498,34.0,0.7529312972350947,84.0,0.0,0.0,0.0
8.0502,1784012744.4298418,34.0,0.7549839828320841,84.0,0.0,0.0,0.0
8.3003,1784012744.6344354,34.0,0.7554194009890213,84.0,0.0,0.0,0.0
8.5504,1784012744.9298105,34.0,0.7555438061767176,84.0,0.0,0.0,0.0
8.8004,1784012745.1523845,34.0,0.7565390476782882,84.0,0.0,0.0,0.0
9.0505,1784012745.4009466,34.0,0.7580319099306441,84.0,0.0,0.0,0.0
9.3006,1784012745.580496,34.0,0.7580941125244922,84.0,0.0,0.0,0.0
9.5507,1784012745.8582637,34.0,0.7586539358691258,84.0,0.0,0.0,0.0
9.8007,1784012746.1204128,34.0,0.760644418872267,84.0,0.0,0.0,0.0
10.0508,1784012746.3899167,34.0,0.7607066214661151,84.0,0.0,0.0,0.0
10.3009,1784012746.6442652,34.0,0.7607688240599633,84.0,0.0,0.0,0.0
10.551,1784012746.8550737,34.0,0.7628215096569527,84.0,0.0,0.0,0.0
10.8011,1784012747.1532779,34.0,0.763319130407738,84.0,0.0,0.0,0.0
11.0511,1784012747.3658187,34.0,0.7633813330015862,84.0,0.0,0.0,0.0
11.3012,1784012747.5964432,34.0,0.7643765745031568,84.0,0.0,0.0,0.0
11.5513,1784012747.8860798,34.0,0.7658694367555127,84.0,0.0,0.0,0.0
11.8014,1784012748.086268,34.0,0.7659938419432091,84.0,0.0,0.0,0.0
12.0515,1784012748.3774462,34.0,0.7669890834447797,84.0,0.0,0.0,0.0
12.3015,1784012748.6299272,34.0,0.7684819456971356,84.0,0.0,0.0,0.0
12.5516,1784012748.8401,34.0,0.7685441482909837,84.0,0.0,0.0,0.0
12.8017,1784012749.1586292,34.0,0.7691039716356172,84.0,0.0,0.0,0.0
13.0518,1784012749.3544736,34.0,0.7710944546387585,84.0,0.0,0.0,0.0
13.3019,1784012749.6360729,34.0,0.7711566572326066,84.0,0.0,0.0,0.0
13.552,1784012749.8642747,34.0,0.7712188598264548,84.0,0.0,0.0,0.0
13.802,1784012750.1298597,34.0,0.7732715454234441,84.0,0.0,0.0,0.0
