t,wall,preemptions_total,kv_usage,running,waiting,waiting_capacity,waiting_deferred
0.0476,1784001187.0834763,27.0,0.0,0.0,0.0,0.0,0.0
0.2977,1784001187.3317847,27.0,0.0,0.0,0.0,0.0,0.0
0.5477,1784001187.5818791,27.0,0.0,0.0,0.0,0.0,0.0
0.7978,1784001187.818526,27.0,0.0,0.0,0.0,0.0,0.0
1.0479,1784001188.0798411,27.0,0.0,0.0,0.0,0.0,0.0
1.298,1784001188.330798,27.0,0.0,0.0,0.0,0.0,0.0
1.548,1784001188.5667577,27.0,0.0,0.0,0.0,0.0,0.0
1.7981,1784001188.8276114,27.0,0.0,0.0,0.0,0.0,0.0
2.0482,1784001189.0787146,27.0,0.0,0.0,0.0,0.0,0.0
2.2982,1784001189.3266451,27.0,0.0,0.0,0.0,0.0,0.0
2.5491,1784001189.572454,27.0,0.0,0.0,0.0,0.0,0.0
2.7992,1784001189.9798093,27.0,0.0,0.0,0.0,0.0,0.0
3.0492,1784001190.088078,27.0,0.0,0.0,0.0,0.0,0.0
3.2993,1784001190.3350763,27.0,0.017914347028271105,18.0,90.0,90.0,0.0
3.5494,1784001190.5828242,27.0,0.6660653749261345,47.0,61.0,61.0,0.0
3.7995,1784001190.9703598,27.0,0.6823935558112773,63.0,45.0,45.0,0.0
4.0496,1784001191.081328,27.0,0.6823935558112773,63.0,45.0,45.0,0.0
4.2996,1784001191.321081,27.0,0.6986906353994962,79.0,29.0,29.0,0.0
4.5497,1784001191.582007,27.0,0.6986906353994962,79.0,29.0,29.0,0.0
4.7998,1784001191.8454888,27.0,0.7149566136907909,95.0,13.0,13.0,0.0
5.0499,1784001192.1213338,27.0,0.7321867321867321,104.0,4.0,4.0,0.0
5.3,1784001192.3858202,27.0,0.7321867321867321,104.0,4.0,4.0,0.0
5.5501,1784001192.5762916,27.0,0.7482039001026343,104.0,4.0,4.0,0.0
5.8001,1784001192.8792808,27.0,0.7482039001026343,104.0,4.0,4.0,0.0
6.0502,1784001193.0851536,27.0,0.7639100550492955,104.0,4.0,4.0,0.0
6.3003,1784001193.3365312,27.0,0.7639100550492955,104.0,4.0,4.0,0.0
6.5504,1784001193.6264787,27.0,0.7639100550492955,104.0,4.0,4.0,0.0
6.8004,1784001193.8342304,27.0,0.779678412589805,105.0,3.0,3.0,0.0
7.0505,1784001194.0833595,27.0,0.779678412589805,105.0,3.0,3.0,0.0
7.3006,1784001194.3275478,27.0,0.779678412589805,105.0,3.0,3.0,0.0
7.5507,1784001194.5649467,27.0,0.7953845675364662,105.0,3.0,3.0,0.0
7.8008,1784001194.8310409,27.0,0.7953845675364662,105.0,3.0,3.0,0.0
8.0508,1784001195.0819297,27.0,0.8115261406400647,105.0,3.0,3.0,0.0
8.3009,1784001195.3363945,27.0,0.8115261406400647,105.0,3.0,3.0,0.0
8.551,1784001195.5852544,27.0,0.8115261406400647,105.0,3.0,3.0,0.0
8.8011,1784001195.8329484,27.0,0.8758436226790657,107.0,1.0,1.0,0.0
9.0511,1784001196.0830615,27.0,0.8758436226790657,107.0,1.0,1.0,0.0
9.3012,1784001196.3711236,27.0,0.891549777625727,107.0,1.0,1.0,0.0
9.5513,1784001196.5857484,27.0,0.891549777625727,107.0,1.0,1.0,0.0
9.8014,1784001196.8680687,27.0,0.9072870338693123,107.0,1.0,1.0,0.0
10.0514,1784001197.0843055,27.0,0.9072870338693123,107.0,1.0,1.0,0.0
10.3015,1784001197.3300889,27.0,0.9072870338693123,107.0,1.0,1.0,0.0
10.5516,1784001197.579339,27.0,0.9230242901128977,108.0,0.0,0.0,0.0
10.8016,1784001197.8439696,27.0,0.9230242901128977,108.0,0.0,0.0,0.0
11.0517,1784001198.0914583,27.0,0.9230242901128977,108.0,0.0,0.0,0.0
11.3018,1784001198.3372982,27.0,0.9387304450595589,108.0,0.0,0.0,0.0
11.5519,1784001198.572223,27.0,0.9387304450595589,108.0,0.0,0.0,0.0
11.802,1784001198.8354325,27.0,0.9544677013031443,108.0,0.0,0.0,0.0
12.052,1784001199.0842469,27.0,0.9544677013031443,108.0,0.0,0.0,0.0
12.3021,1784001199.3356383,27.0,0.9544677013031443,108.0,0.0,0.0,0.0
12.5522,1784001199.6238537,27.0,0.9683388797312849,108.0,0.0,0.0,0.0
12.8023,1784001199.8135946,27.0,0.9683388797312849,108.0,0.0,0.0,0.0
13.0524,1784001200.1980402,27.0,0.9693341212328555,108.0,0.0,0.0,0.0
13.3024,1784001200.3491955,27.0,0.970671477000591,108.0,0.0,0.0,0.0
13.5525,1784001200.6563845,27.0,0.9711379964544522,108.0,0.0,0.0,0.0
13.8026,1784001200.830879,27.0,0.9711379964544522,108.0,0.0,0.0,0.0
14.0527,1784001201.1336,27.0,0.972195440549871,108.0,0.0,0.0,0.0
14.3028,1784001201.3371043,27.0,0.9740304170683918,108.0,0.0,0.0,0.0
14.5529,1784001201.6441386,27.0,0.974496936522253,108.0,0.0,0.0,0.0
14.8029,1784001201.8481903,27.0,0.974496936522253,108.0,0.0,0.0,0.0
15.053,1784001202.136926,27.0,0.9755543806176717,108.0,0.0,0.0,0.0
15.3031,1784001202.3454719,27.0,0.9773893571361926,108.0,0.0,0.0,0.0
15.5532,1784001202.6314301,27.0,0.9778558765900538,108.0,0.0,0.0,0.0
15.8033,1784001202.8498874,27.0,0.9778558765900538,108.0,0.0,0.0,0.0
16.0533,1784001203.1316638,27.0,0.9789133206854725,108.0,0.0,0.0,0.0
16.3034,1784001203.3475084,27.0,0.9807482972039934,108.0,0.0,0.0,0.0
16.5535,1784001203.6307359,27.0,0.9812148166578546,108.0,0.0,0.0,0.0
16.8036,1784001203.8416798,27.0,0.9812148166578546,108.0,0.0,0.0,0.0
17.0537,1784001204.130496,27.0,0.9822722607532735,108.0,0.0,0.0,0.0
17.3037,1784001204.341666,27.0,0.9841072372717943,108.0,0.0,0.0,0.0
17.5538,1784001204.6360261,27.0,0.9845737567256555,108.0,0.0,0.0,0.0
17.8039,1784001204.8322167,27.0,0.9845737567256555,108.0,0.0,0.0,0.0
18.0539,1784001205.1369581,27.0,0.9861288215718595,108.0,0.0,0.0,0.0
