rid,cls,input_len,output_len,arrival_t,send_t,ttft,e2e,tpot,output_tokens,ok,error
long-0000,long,25000,512,0.0,0.05169548187404871,1.4186569643206894,40.82744331238791,0.07712091261852685,512,1,
long-0001,long,25000,512,0.0,0.05679204594343901,1.4160302011296153,40.820452036336064,0.0771123714974686,512,1,
long-0002,long,25000,512,0.0,0.05836535105481744,1.4163552019745111,40.82230869308114,0.07711536886713626,512,1,
long-0003,long,25000,512,0.0,0.05955102387815714,1.41338025406003,40.82127781910822,0.07711917331711975,512,1,
long-0004,long,25000,512,0.0,0.06069546518847346,1.4123365618288517,40.81856350693852,0.07711590400217155,512,1,
long-0005,long,25000,512,0.0,0.061885204166173935,1.4129475448280573,40.817463871091604,0.07711255641147464,512,1,
long-0006,long,25000,512,0.0,0.06302798306569457,1.408422576263547,40.817406015936285,0.077121298316385,512,1,
long-0007,long,25000,512,0.0,0.06425769114866853,1.4088726309128106,40.8162566870451,0.07711816840730389,512,1,
long-0008,long,25000,512,0.0,0.06554391188547015,1.4076828830875456,40.81535251112655,0.0771187272564364,512,1,
long-0009,long,25000,512,0.0,0.06682024896144867,1.4077277691103518,40.81414054892957,0.0771162676708791,512,1,
long-0010,long,25000,512,0.0,0.06804844411090016,1.4069618270732462,40.81269017606974,0.07711492827592269,512,1,
long-0011,long,25000,512,0.0,0.06921105226501822,1.405890273861587,40.8113846257329,0.07711447035591255,512,1,
long-0012,long,25000,512,0.0,0.07042106101289392,6.719155441969633,41.0111557142809,0.06710763262683223,512,1,
long-0013,long,25000,512,0.0,0.07157777110114694,1.3991757878102362,40.76275028800592,0.07703243542112657,512,1,
long-0014,long,25000,512,0.0,0.0727197490632534,4.78124018991366,40.926831539254636,0.0707350124253248,512,1,
long-0015,long,25000,512,0.0,0.07397947087883949,6.7188093001022935,41.00767990620807,0.06710150803543205,512,1,
long-0016,long,25000,512,0.0,0.07511242525652051,8.612978456076235,41.04688742663711,0.06347144612634223,512,1,
long-0017,long,25000,512,0.0,0.07619563629850745,10.524247839581221,42.40493092080578,0.06238881229202458,512,1,
short-0000,short,512,256,0.0,0.07734848000109196,0.8247608942911029,25.382326043210924,0.09630417705458753,256,1,
short-0001,short,512,256,0.0,0.07747451728209853,0.8257723986171186,25.384015921037644,0.0963068373428256,256,1,
short-0002,short,512,256,0.0,0.07759070908650756,1.6560322912409902,26.19834754616022,0.09624437354870287,256,1,
short-0003,short,512,256,0.0,0.0777191580273211,0.8259390452876687,25.382982353214175,0.09630213061931964,256,1,
short-0004,short,512,256,0.0,0.07784287119284272,1.3937741839326918,25.45026949979365,0.09433919731710179,256,1,
short-0005,short,512,256,0.0,0.07796604325994849,0.8244926980696619,25.38191236089915,0.09630360652089995,256,1,
short-0006,short,512,256,0.0,0.07875978713855147,1.3946622358635068,25.44776196219027,0.0943258812797128,256,1,
short-0007,short,512,256,0.0,0.07890959829092026,0.5225121178664267,25.31145599996671,0.09721154463568739,256,1,
short-0008,short,512,256,0.0,0.07903717691078782,0.8246869943104684,25.372793118003756,0.09626708283801289,256,1,
short-0009,short,512,256,0.0,0.07916350290179253,0.8233528132550418,25.38249430200085,0.09631035877939532,256,1,
short-0010,short,512,256,0.0,0.07928421208634973,0.8244814700447023,25.382545337080956,0.09630613281190688,256,1,
short-0011,short,512,256,0.0,0.07941591599956155,1.394098874181509,25.448838224168867,0.094332311176421,256,1,
