t,wall,preemptions_total,kv_usage,running,waiting,waiting_capacity,waiting_deferred
0.0478,1784012956.8558576,53.0,0.0,0.0,0.0,0.0,0.0
0.2979,1784012957.1044633,53.0,0.0,0.0,0.0,0.0,0.0
0.548,1784012957.364375,53.0,0.0,0.0,0.0,0.0,0.0
0.7981,1784012957.6134586,53.0,0.0,0.0,0.0,0.0,0.0
1.0482,1784012957.8572671,53.0,0.0,0.0,0.0,0.0,0.0
1.2982,1784012958.1026292,53.0,0.0,0.0,0.0,0.0,0.0
1.5483,1784012958.3653154,53.0,0.0,0.0,0.0,0.0,0.0
1.7984,1784012958.6104677,53.0,0.0,0.0,0.0,0.0,0.0
2.0485,1784012958.8558226,53.0,0.0,0.0,0.0,0.0,0.0
2.2985,1784012959.102064,53.0,0.0,0.0,0.0,0.0,0.0
2.5516,1784012959.3609958,53.0,0.0,0.0,0.0,0.0,0.0
2.8016,1784012959.893117,53.0,0.007184399589462931,7.0,0.0,0.0,0.0
3.1691,1784012959.9689915,53.0,0.007184399589462931,7.0,0.0,0.0,0.0
3.4191,1784012960.234833,53.0,0.025036544023885776,25.0,18.0,18.0,0.0
3.6692,1784012960.4828649,53.0,0.09196653500450969,40.0,80.0,80.0,0.0
3.9193,1784012960.7219317,53.0,0.10826361459272849,40.0,80.0,80.0,0.0
4.1694,1784012960.975933,53.0,0.10826361459272849,40.0,80.0,80.0,0.0
4.4195,1784012961.2656724,53.0,0.12409417472708617,40.0,80.0,80.0,0.0
4.6695,1784012961.481457,53.0,0.12409417472708617,40.0,80.0,80.0,0.0
4.9196,1784012961.7266774,53.0,0.12409417472708617,40.0,80.0,80.0,0.0
5.1697,1784012962.018477,53.0,0.3343389419338787,45.0,75.0,75.0,0.0
5.4198,1784012962.233245,53.0,0.3343389419338787,45.0,75.0,75.0,0.0
5.6698,1784012962.483033,53.0,0.3343389419338787,45.0,75.0,75.0,0.0
5.9199,1784012962.7705216,53.0,0.35016950206823627,45.0,75.0,75.0,0.0
6.17,1784012962.973049,53.0,0.35016950206823627,45.0,75.0,75.0,0.0
6.42,1784012963.270933,53.0,0.3660311634995179,45.0,75.0,75.0,0.0
6.6701,1784012963.4777687,53.0,0.3660311634995179,45.0,75.0,75.0,0.0
6.9202,1784012963.7100358,53.0,0.3660311634995179,45.0,75.0,75.0,0.0
7.1702,1784012964.0281882,53.0,0.6658165645507418,51.0,69.0,69.0,0.0
7.4203,1784012964.2268858,53.0,0.6658165645507418,51.0,69.0,69.0,0.0
7.6704,1784012964.4600775,53.0,0.6658165645507418,51.0,69.0,69.0,0.0
7.9205,1784012964.7155228,53.0,0.6658165645507418,51.0,69.0,69.0,0.0
8.1706,1784012965.0268734,53.0,0.6816471246850994,52.0,68.0,68.0,0.0
