t,wall,preemptions_total,kv_usage,running,waiting,waiting_capacity,waiting_deferred
0.0476,1784012675.906959,34.0,0.0,0.0,0.0,0.0,0.0
0.2977,1784012676.1165552,34.0,0.0,0.0,0.0,0.0,0.0
0.5477,1784012676.2974243,34.0,0.0,0.0,0.0,0.0,0.0
0.7978,1784012676.6113384,34.0,0.0,0.0,0.0,0.0,0.0
1.0479,1784012676.8584514,34.0,0.0,0.0,0.0,0.0,0.0
1.298,1784012677.1039848,34.0,0.0,0.0,0.0,0.0,0.0
1.5481,1784012677.3392723,34.0,0.0,0.0,0.0,0.0,0.0
1.7981,1784012677.6083317,34.0,0.0,0.0,0.0,0.0,0.0
2.0482,1784012677.8545995,34.0,0.0,0.0,0.0,0.0,0.0
2.2983,1784012678.102953,34.0,0.0,0.0,0.0,0.0,0.0
2.5495,1784012678.3533485,34.0,0.0,0.0,0.0,0.0,0.0
2.7995,1784012678.6353214,34.0,0.0,0.0,0.0,0.0,0.0
3.0496,1784012678.8624306,34.0,0.4363822971417908,25.0,35.0,35.0,0.0
3.2997,1784012679.1099112,34.0,0.4363822971417908,25.0,35.0,35.0,0.0
3.5498,1784012679.3608968,34.0,0.45271047802693376,25.0,35.0,35.0,0.0
3.7998,1784012679.6031003,34.0,0.45271047802693376,25.0,35.0,35.0,0.0
4.0499,1784012679.8971457,34.0,0.4686032407551395,40.0,20.0,20.0,0.0
4.3,1784012680.0903072,34.0,0.4686032407551395,40.0,20.0,20.0,0.0
4.5501,1784012680.333434,34.0,0.4848692190464342,56.0,4.0,4.0,0.0
4.8002,1784012680.6469238,34.0,0.5011973999315771,58.0,2.0,2.0,0.0
5.0502,1784012680.81011,34.0,0.5011973999315771,58.0,2.0,2.0,0.0
5.3003,1784012681.1063762,34.0,0.5170590613628588,58.0,2.0,2.0,0.0
5.5504,1784012681.3461359,34.0,0.5170590613628588,58.0,2.0,2.0,0.0
5.8005,1784012681.6320324,34.0,0.5328896214972164,58.0,2.0,2.0,0.0
6.0506,1784012681.9278502,34.0,0.5328896214972164,58.0,2.0,2.0,0.0
6.3006,1784012682.0966268,34.0,0.5328896214972164,58.0,2.0,2.0,0.0
6.5507,1784012682.3954682,34.0,0.5373682082542842,60.0,0.0,0.0,0.0
6.8008,1784012682.6074286,34.0,0.5376792212235251,60.0,0.0,0.0,0.0
7.0509,1784012682.8555024,34.0,0.5382390445681584,60.0,0.0,0.0,0.0
7.3009,1784012683.196025,34.0,0.53954529903897,60.0,0.0,0.0,0.0
7.551,1784012683.4,34.0,0.539576400335894,60.0,0.0,0.0,0.0
7.8011,1784012683.694095,34.0,0.541100363885174,60.0,0.0,0.0,0.0
8.0512,1784012683.9072545,34.0,0.541442478151339,60.0,0.0,0.0,0.0
8.3013,1784012684.1107695,34.0,0.5415357820421112,60.0,0.0,0.0,0.0
8.5513,1784012684.3873231,34.0,0.5429664417006189,60.0,0.0,0.0,0.0
8.8014,1784012684.6364968,34.0,0.5433085559667838,60.0,0.0,0.0,0.0
9.0515,1784012684.8550334,34.0,0.5442726961714304,60.0,0.0,0.0,0.0
9.3016,1784012685.183777,34.0,0.5451746337822287,60.0,0.0,0.0,0.0
9.5517,1784012685.4000866,34.0,0.545267937673001,60.0,0.0,0.0,0.0
9.8018,1784012685.607579,34.0,0.5466985973315087,60.0,0.0,0.0,0.0
10.0519,1784012685.898549,34.0,0.5470407115976736,60.0,0.0,0.0,0.0
10.3019,1784012686.1223397,34.0,0.5480048518023202,60.0,0.0,0.0,0.0
10.552,1784012686.4035168,34.0,0.5488756881161945,60.0,0.0,0.0,0.0
10.8021,1784012686.6086528,34.0,0.5489067894131185,60.0,0.0,0.0,0.0
11.0522,1784012686.8855479,34.0,0.5504307529623985,60.0,0.0,0.0,0.0
11.3023,1784012687.1256363,34.0,0.5507728672285634,60.0,0.0,0.0,0.0
11.5524,1784012687.3913655,34.0,0.5513015892762728,60.0,0.0,0.0,0.0
11.8024,1784012687.600291,34.0,0.5522968307778434,60.0,0.0,0.0,0.0
12.0525,1784012687.8931172,34.0,0.5526389450440083,60.0,0.0,0.0,0.0
12.3026,1784012688.106917,34.0,0.5536030852486549,60.0,0.0,0.0,0.0
12.5527,1784012688.415946,34.0,0.5545050228594532,60.0,0.0,0.0,0.0
12.8028,1784012688.6173763,34.0,0.5550337449071626,60.0,0.0,0.0,0.0
13.0529,1784012688.8447742,34.0,0.5560289864087332,60.0,0.0,0.0,0.0
13.3029,1784012689.1867673,34.0,0.5563711006748981,60.0,0.0,0.0,0.0
13.553,1784012689.401329,34.0,0.5573352408795447,60.0,0.0,0.0,0.0
13.8031,1784012689.6079094,34.0,0.5579572668180264,60.0,0.0,0.0,0.0
14.0532,1784012689.890644,34.0,0.558237178490343,60.0,0.0,0.0,0.0
14.3033,1784012690.126632,34.0,0.5597611420396231,60.0,0.0,0.0,0.0
14.5533,1784012690.38717,34.0,0.5601032563057879,60.0,0.0,0.0,0.0
14.8034,1784012690.6156704,34.0,0.5606319783534973,60.0,0.0,0.0,0.0
15.0535,1784012690.8612423,34.0,0.561627219855068,60.0,0.0,0.0,0.0
15.3036,1784012691.1928122,34.0,0.5619693341212328,60.0,0.0,0.0,0.0
15.5537,1784012691.4034767,34.0,0.5634310950766648,60.0,0.0,0.0,0.0
15.8037,1784012691.6057496,34.0,0.5638043106397537,60.0,0.0,0.0,0.0
16.0538,1784012691.860185,34.0,0.5638354119366777,60.0,0.0,0.0,0.0
16.3039,1784012692.1850586,34.0,0.5653593754859578,60.0,0.0,0.0,0.0
16.554,1784012692.3914766,34.0,0.5657014897521226,60.0,0.0,0.0,0.0
16.804,1784012692.6919672,34.0,0.4940752029359624,12.0,0.0,0.0,0.0
17.0541,1784012692.920575,34.0,0.4913382888066432,10.0,0.0,0.0,0.0
17.3042,1784012693.1148477,34.0,0.4913693901035673,10.0,0.0,0.0,0.0
17.5543,1784012693.3564413,34.0,0.49140049140049136,10.0,0.0,0.0,0.0
17.8043,1784012693.6306732,34.0,0.49168040307280814,10.0,0.0,0.0,0.0
18.0544,1784012693.9506338,34.0,0.4917115043697322,10.0,0.0,0.0,0.0
18.3045,1784012694.1540923,34.0,0.4919603147451249,10.0,0.0,0.0,0.0
18.5546,1784012694.4264796,34.0,0.49202251733897306,10.0,0.0,0.0,0.0
18.8047,1784012694.6132047,34.0,0.49202251733897306,10.0,0.0,0.0,0.0
19.0547,1784012694.898745,34.0,0.49230242901128973,10.0,0.0,0.0,0.0
19.3048,1784012695.1194067,34.0,0.4923335303082138,10.0,0.0,0.0,0.0
19.5549,1784012695.4061024,34.0,0.4926134419805306,10.0,0.0,0.0,0.0
19.8049,1784012695.6853604,34.0,0.49264454327745466,10.0,0.0,0.0,0.0
20.055,1784012695.8378248,34.0,0.49264454327745466,10.0,0.0,0.0,0.0
20.3051,1784012696.141863,34.0,0.49292445494977144,10.0,0.0,0.0,0.0
20.5552,1784012696.3923955,34.0,0.4929555562466955,10.0,0.0,0.0,0.0
20.8052,1784012696.5814638,34.0,0.4932354679190122,10.0,0.0,0.0,0.0
21.0553,1784012696.8973145,34.0,0.49326656921593626,10.0,0.0,0.0,0.0
21.3054,1784012697.117969,34.0,0.49326656921593626,10.0,0.0,0.0,0.0
21.5555,1784012697.396137,34.0,0.49354648088825304,10.0,0.0,0.0,0.0
21.8056,1784012697.5732143,34.0,0.4935775821851771,10.0,0.0,0.0,0.0
22.0557,1784012697.90795,34.0,0.4938574938574939,10.0,0.0,0.0,0.0
22.3057,1784012698.1146114,34.0,0.49388859515441796,10.0,0.0,0.0,0.0
22.5558,1784012698.446278,34.0,0.49416850682673463,10.0,0.0,0.0,0.0
22.8059,1784012698.6335855,34.0,0.4941996081236587,10.0,0.0,0.0,0.0
23.056,1784012698.8491054,34.0,0.4941996081236587,10.0,0.0,0.0,0.0
23.3061,1784012699.1804998,34.0,0.4944795197959755,10.0,0.0,0.0,0.0
23.5562,1784012699.3977976,34.0,0.49451062109289956,10.0,0.0,0.0,0.0
23.8063,1784012699.5930653,34.0,0.49475943146829227,10.0,0.0,0.0,0.0
24.0563,1784012699.935948,34.0,0.4948216340621404,10.0,0.0,0.0,0.0
24.3064,1784012700.1973615,34.0,0.495070444437533,10.0,0.0,0.0,0.0
24.5565,1784012700.3618135,34.0,0.4951015457344571,10.0,0.0,0.0,0.0
24.8066,1784012700.6540613,34.0,0.49513264703138116,10.0,0.0,0.0,0.0
25.0566,1784012700.8672643,34.0,0.49538145740677386,10.0,0.0,0.0,0.0
25.3067,1784012701.103693,34.0,0.495443660000622,10.0,0.0,0.0,0.0
25.5568,1784012701.4323575,34.0,0.4956924703760147,10.0,0.0,0.0,0.0
25.8068,1784012701.6163003,34.0,0.4957235716729388,10.0,0.0,0.0,0.0
26.0569,1784012701.8879383,34.0,0.49575467296986286,10.0,0.0,0.0,0.0
26.307,1784012702.1091747,34.0,0.49603458464217953,10.0,0.0,0.0,0.0
26.5571,1784012702.4452677,34.0,0.0,0.0,0.0,0.0,0.0
26.8071,1784012702.606774,34.0,0.0,0.0,0.0,0.0,0.0
27.0572,1784012702.867441,34.0,0.0,0.0,0.0,0.0,0.0
27.3073,1784012703.1145227,34.0,0.0,0.0,0.0,0.0,0.0
27.5574,1784012703.3625722,34.0,0.0,0.0,0.0,0.0,0.0
