rid,cls,input_len,output_len,arrival_t,send_t,ttft,e2e,tpot,output_tokens,ok,error
long-0000,long,25000,512,0.0,0.05029461719095707,0.7563491938635707,25.50866910489276,0.048438982213364366,512,1,
long-0001,long,25000,512,0.0,0.05522560002282262,0.7508609211072326,25.504572223871946,0.04844170509347302,512,1,
long-0002,long,25000,512,0.0,0.05700840521603823,0.7491269689053297,25.50177726196125,0.048439628753534095,512,1,
long-0003,long,25000,512,0.0,0.05878700315952301,0.7481349017471075,25.498458990827203,0.04843507649526437,512,1,
long-0004,long,25000,512,0.0,0.060481986962258816,0.744928187225014,25.498392302077264,0.048441221359789136,512,1,
long-0005,long,25000,512,0.0,0.06221951497718692,0.7432431471534073,25.49780169222504,0.048443363101901435,512,1,
long-0006,long,25000,512,0.0,0.06355665624141693,0.7434173668734729,25.496567704714835,0.04844060731475805,512,1,
long-0007,long,25000,512,0.0,0.06474980292841792,0.7427033828571439,25.49510932294652,0.048439150567689576,512,1,
long-0008,long,25000,512,0.0,0.06594754615798593,0.7402344369329512,25.49370133690536,0.04844122681012213,512,1,
long-0009,long,25000,512,0.0,0.06708117481321096,0.7404172183014452,25.49309628503397,0.04843968506209888,512,1,
long-0010,long,25000,512,0.0,0.06827587401494384,0.7397316168062389,25.4916439820081,0.04843818466771401,512,1,
long-0011,long,25000,512,0.0,0.06941088382154703,0.7381298122927547,25.490562160965055,0.048439202247891,512,1,
long-0012,long,25000,512,0.0,0.07060433086007833,0.7369769560173154,25.489112503360957,0.048438621423373074,512,1,
long-0013,long,25000,512,0.0,0.07173421420156956,0.7352911150082946,25.488338459748775,0.048440405762701526,512,1,
short-0000,short,512,256,0.0,0.0728663201443851,0.7347594327293336,13.699475763831288,0.0508420248278508,256,1,
short-0001,short,512,256,0.0,0.07299256790429354,0.7350587691180408,13.69942647125572,0.05084065765544188,256,1,
short-0002,short,512,256,0.0,0.07316256081685424,0.7349290163256228,13.699330488219857,0.05084079008585974,256,1,
short-0003,short,512,256,0.0,0.07328128814697266,0.7343972339294851,13.69928624201566,0.050842701992494806,256,1,
short-0004,short,512,256,0.0,0.07340333890169859,0.4470325531437993,13.623219697270542,0.05167132213383036,256,1,
short-0005,short,512,256,0.0,0.07352388883009553,0.7346137063577771,13.69910729629919,0.05084115133310358,256,1,
short-0006,short,512,256,0.0,0.07363752787932754,0.7325927969068289,13.695794872939587,0.050836086572677484,256,1,
short-0007,short,512,256,0.0,0.07375996001064777,0.7311345958150923,13.685596426017582,0.05080181109883329,256,1,
short-0008,short,512,256,0.0,0.07388504687696695,0.730454923119396,13.684441505931318,0.05079994738357616,256,1,
short-0009,short,512,256,0.0,0.07400652812793851,0.7337717618793249,13.698693139012903,0.0508428289299356,256,1,
short-0010,short,512,256,0.0,0.07476308383047581,0.7323068510740995,13.69570943620056,0.05083687288284886,256,1,
short-0011,short,512,256,0.0,0.07491362793371081,0.7322037681005895,13.697848983108997,0.05084566750983689,256,1,
short-0012,short,512,256,0.0,0.07504766806960106,0.7331357961520553,13.697794251143932,0.05084179786271324,256,1,
short-0013,short,512,256,0.0,0.07517627906054258,0.7310981219634414,13.694348108954728,0.05083627445878936,256,1,
short-0014,short,512,256,0.0,0.07530761510133743,0.7290905918926001,13.67597712110728,0.050772104036136,256,1,
short-0015,short,512,256,0.0,0.07543094921857119,0.7295198608189821,13.688449534587562,0.05081933205399443,256,1,
short-0016,short,512,256,0.0,0.07555219903588295,0.7294514789246023,13.688470706809312,0.050819683246606705,256,1,
short-0017,short,512,256,0.0,0.07567068608477712,0.7279926659539342,13.679390022996813,0.0507897935570309,256,1,
short-0018,short,512,256,0.0,0.0758493822067976,0.7292057829909027,13.688984751701355,0.05082266262239393,256,1,
short-0019,short,512,256,0.0,0.07598144793882966,0.731842489913106,13.696925558149815,0.05084346301269298,256,1,
short-0020,short,512,256,0.0,0.07610215805470943,0.7290082187391818,13.68804091680795,0.050819736070857914,256,1,
short-0021,short,512,256,0.0,0.07622066512703896,0.7309442618861794,13.693569459021091,0.05083382430248985,256,1,
short-0022,short,512,256,0.0,0.07635092921555042,0.7299694097600877,13.693532773759216,0.050837503388231876,256,1,
short-0023,short,512,256,0.0,0.07647166820243001,0.7317534070461988,13.696498340927064,0.050842136995611235,256,1,
short-0024,short,512,256,0.0,0.07659522211179137,0.7316730977036059,13.69643577793613,0.050842206589147156,256,1,
short-0025,short,512,256,0.0,0.0767187662422657,0.7271117446944118,13.675911974627525,0.05077960874483574,256,1,
short-0026,short,512,256,0.0,0.07688438287004828,0.7282763491384685,13.68737705796957,0.05082000277972981,256,1,
short-0027,short,512,256,0.0,0.07702062604948878,0.7284926711581647,13.692140631843358,0.05083783513994194,256,1,
short-0028,short,512,256,0.0,0.07714314805343747,0.7273120530880988,13.678077830001712,0.050787316772210246,256,1,
short-0029,short,512,256,0.0,0.0772724011912942,0.7290933458134532,13.693282471969724,0.05083995735747557,256,1,
short-0030,short,512,256,0.0,0.07740199379622936,0.7309064161963761,13.695689076092094,0.05084228494076752,256,1,
short-0031,short,512,256,0.0,0.07752849208191037,0.7288842448033392,13.69244053773582,0.05083747565855875,256,1,
short-0032,short,512,256,0.0,0.07765196589753032,0.7306996183469892,13.695499093271792,0.05084235088205805,256,1,
short-0033,short,512,256,0.0,0.07781711220741272,0.7277476419694722,13.691437343601137,0.0508379988299281,256,1,
short-0034,short,512,256,0.0,0.07794992998242378,0.7292640199884772,13.692691652104259,0.0508369711063364,256,1,
short-0035,short,512,256,0.0,0.07807849114760756,0.7275392520241439,13.686864905059338,0.0508208849138635,256,1,
short-0036,short,512,256,0.0,0.07821084791794419,0.7296566548757255,13.695000891108066,0.050844487200911136,256,1,
short-0037,short,512,256,0.0,0.07834123307839036,0.7289218101650476,13.694931596983224,0.050847097203208534,256,1,
short-0038,short,512,256,0.0,0.0784738902002573,0.7279862370342016,13.691578894853592,0.050837618265958395,256,1,
short-0039,short,512,256,0.0,0.07859994797036052,0.7279019919224083,13.691534018144011,0.050837772651849425,256,1,
short-0040,short,512,256,0.0,0.07872807886451483,0.7252288511954248,13.676641611382365,0.05078985396151741,256,1,
short-0041,short,512,256,0.0,0.0788944261148572,0.72676941473037,13.69045140594244,0.05083796859298851,256,1,
short-0042,short,512,256,0.0,0.07903197081759572,0.7275158371776342,13.690576803404838,0.050835533200890994,256,1,
short-0043,short,512,256,0.0,0.07916829409077764,0.7265443401411176,13.691048464737833,0.05084119264547731,256,1,
short-0044,short,512,256,0.0,0.07930690096691251,0.7264496181160212,13.68506857007742,0.05081811353710352,256,1,
short-0045,short,512,256,0.0,0.07943950779736042,0.7289560213685036,13.693893812131137,0.050842893297108366,256,1,
short-0046,short,512,256,0.0,0.07957299705594778,0.7256387309171259,13.678903448861092,0.050797116540956734,256,1,
short-0047,short,512,256,0.0,0.07970918994396925,0.7243197369389236,13.678897029254586,0.05080226389143397,256,1,
short-0048,short,512,256,0.0,0.0798579310066998,0.7243361920118332,13.67295813607052,0.05077890958454387,256,1,
short-0049,short,512,256,0.0,0.0800327411852777,0.7244747476652265,13.678697193041444,0.0508008723348087,256,1,
short-0050,short,512,256,0.0,0.08017049683257937,0.727140648290515,13.690551455132663,0.05083690512487117,256,1,
short-0051,short,512,256,0.0,0.08030292391777039,0.7276136022992432,13.693091467022896,0.050845011234210404,256,1,
short-0052,short,512,256,0.0,0.08043754380196333,0.7241234253160655,13.678433800116181,0.05080121715607889,256,1,
short-0053,short,512,256,0.0,0.0805730358697474,0.7246900689788163,13.683914962224662,0.05082048977743469,256,1,
short-0054,short,512,256,0.0,0.08070999989286065,0.7266452200710773,13.690109717193991,0.050837115674991815,256,1,
short-0055,short,512,256,0.0,0.08085020910948515,0.7244637310504913,13.683748084120452,0.05082072295321553,256,1,
short-0056,short,512,256,0.0,0.08098958618938923,0.7248188010416925,13.688069669995457,0.05083627791746574,256,1,
