t,wall,preemptions_total,kv_usage,running,waiting,waiting_capacity,waiting_deferred
0.0474,1784012899.124423,41.0,0.0,0.0,0.0,0.0,0.0
0.2975,1784012899.371589,41.0,0.0,0.0,0.0,0.0,0.0
0.5476,1784012899.6375484,41.0,0.0,0.0,0.0,0.0,0.0
0.7977,1784012899.864641,41.0,0.0,0.0,0.0,0.0,0.0
1.0477,1784012900.0919402,41.0,0.0,0.0,0.0,0.0,0.0
1.2978,1784012900.364297,41.0,0.0,0.0,0.0,0.0,0.0
1.5479,1784012900.6258564,41.0,0.0,0.0,0.0,0.0,0.0
1.798,1784012900.8698065,41.0,0.0,0.0,0.0,0.0,0.0
2.048,1784012901.1228707,41.0,0.0,0.0,0.0,0.0,0.0
2.2981,1784012901.364754,41.0,0.0,0.0,0.0,0.0,0.0
2.549,1784012901.5909574,41.0,0.0,0.0,0.0,0.0,0.0
2.7991,1784012902.1755927,41.0,0.006002550306347776,6.0,0.0,0.0,0.0
3.19,1784012902.3141205,41.0,0.36226790657170405,29.0,13.0,13.0,0.0
3.44,1784012902.5044053,41.0,0.36226790657170405,29.0,13.0,13.0,0.0
3.6901,1784012902.8115156,41.0,0.718750971915529,41.0,79.0,79.0,0.0
3.9402,1784012903.011442,41.0,0.718750971915529,41.0,79.0,79.0,0.0
4.1902,1784012903.2593343,41.0,0.734768139831431,41.0,79.0,79.0,0.0
4.4403,1784012903.5169365,41.0,0.734768139831431,41.0,79.0,79.0,0.0
4.6904,1784012903.7487807,41.0,0.7505986999657885,41.0,79.0,79.0,0.0
4.9405,1784012904.0084577,41.0,0.7505986999657885,41.0,79.0,79.0,0.0
5.1906,1784012904.341162,41.0,0.7505986999657885,41.0,79.0,79.0,0.0
5.4407,1784012904.5165262,41.0,0.7664603613970702,52.0,68.0,68.0,0.0
5.6907,1784012904.7639556,41.0,0.7664603613970702,52.0,68.0,68.0,0.0
5.9408,1784012905.0511134,41.0,0.7826019345006687,68.0,52.0,52.0,0.0
6.1909,1784012905.2608905,41.0,0.7826019345006687,68.0,52.0,52.0,0.0
6.441,1784012905.5662186,41.0,0.7988990140888875,84.0,36.0,36.0,0.0
6.6911,1784012905.771664,41.0,0.7988990140888875,84.0,36.0,36.0,0.0
6.9412,1784012906.0181172,41.0,0.8637452181755979,93.0,27.0,27.0,0.0
7.1912,1784012906.2652318,41.0,0.8637452181755979,93.0,27.0,27.0,0.0
7.4413,1784012906.5104802,41.0,0.8797623860915,93.0,27.0,27.0,0.0
7.6914,1784012906.7644932,41.0,0.8797623860915,93.0,27.0,27.0,0.0
7.9415,1784012907.041071,41.0,0.8957173514135539,93.0,27.0,27.0,0.0
8.1915,1784012907.2626617,41.0,0.8957173514135539,93.0,27.0,27.0,0.0
8.4416,1784012907.5908208,41.0,0.8957173514135539,93.0,27.0,27.0,0.0
8.6917,1784012907.7336028,41.0,0.911703418032532,94.0,26.0,26.0,0.0
8.9418,1784012908.0126073,41.0,0.911703418032532,94.0,26.0,26.0,0.0
9.1918,1784012908.2604156,41.0,0.911703418032532,94.0,26.0,26.0,0.0
9.4419,1784012908.522511,41.0,0.9274406742761173,94.0,26.0,26.0,0.0
9.692,1784012908.7741227,41.0,0.9274406742761173,94.0,26.0,26.0,0.0
9.9421,1784012908.9899695,41.0,0.9274406742761173,94.0,26.0,26.0,0.0
10.1922,1784012909.2649703,41.0,0.9431779305197027,94.0,26.0,26.0,0.0
10.4423,1784012909.508024,41.0,0.9431779305197027,94.0,26.0,26.0,0.0
10.6923,1784012909.7577956,41.0,0.9431779305197027,94.0,26.0,26.0,0.0
10.9424,1784012909.994081,41.0,0.9534724598015737,94.0,26.0,26.0,0.0
11.1925,1784012910.2641106,41.0,0.9534724598015737,94.0,26.0,26.0,0.0
11.4426,1784012910.5905628,41.0,0.9536901688800423,94.0,26.0,26.0,0.0
11.6927,1784012910.7581482,41.0,0.954343296115448,94.0,26.0,26.0,0.0
11.9427,1784012911.0689695,41.0,0.9559294622585762,94.0,26.0,26.0,0.0
12.1928,1784012911.2620597,41.0,0.9563648804155134,94.0,26.0,26.0,0.0
12.4429,1784012911.5270643,41.0,0.956613690790906,94.0,26.0,26.0,0.0
12.693,1784012911.7968378,41.0,0.9572668180263117,94.0,26.0,26.0,0.0
12.943,1784012912.0425625,41.0,0.9588529841694399,94.0,26.0,26.0,0.0
13.1931,1784012912.314778,41.0,0.9593195036233011,94.0,26.0,26.0,0.0
13.4432,1784012912.5430121,41.0,0.9600037321556308,94.0,26.0,26.0,0.0
13.6933,1784012912.8467984,41.0,0.9605013529064161,94.0,26.0,26.0,0.0
13.9434,1784012913.0972385,41.0,0.9622119242372407,94.0,26.0,26.0,0.0
14.1935,1784012913.2647185,41.0,0.9622119242372407,94.0,26.0,26.0,0.0
14.4435,1784012913.6044898,41.0,0.963082760551115,94.0,26.0,26.0,0.0
14.6936,1784012913.7941918,41.0,0.9634248748172799,94.0,26.0,26.0,0.0
14.9437,1784012914.0812058,41.0,0.9651354461481044,94.0,26.0,26.0,0.0
15.1938,1784012914.2595713,41.0,0.9651354461481044,94.0,26.0,26.0,0.0
15.4439,1784012914.5414808,41.0,0.9658507759773582,94.0,26.0,26.0,0.0
15.694,1784012914.821582,41.0,0.9668771187758529,94.0,26.0,26.0,0.0
