t,wall,preemptions_total,kv_usage,running,waiting,waiting_capacity,waiting_deferred
0.0482,1784013022.9266436,75.0,0.0,0.0,0.0,0.0,0.0
0.2982,1784013023.1465266,75.0,0.0,0.0,0.0,0.0,0.0
0.5483,1784013023.4333453,75.0,0.0,0.0,0.0,0.0,0.0
0.7984,1784013023.6738617,75.0,0.0,0.0,0.0,0.0,0.0
1.0485,1784013023.9338942,75.0,0.0,0.0,0.0,0.0,0.0
1.2986,1784013024.14273,75.0,0.0,0.0,0.0,0.0,0.0
1.5487,1784013024.388546,75.0,0.0,0.0,0.0,0.0,0.0
1.7987,1784013024.6754773,75.0,0.0,0.0,0.0,0.0,0.0
2.0488,1784013024.9373949,75.0,0.0,0.0,0.0,0.0,0.0
2.2989,1784013025.1744392,75.0,0.0,0.0,0.0,0.0,0.0
2.55,1784013025.432611,75.0,0.0,0.0,0.0,0.0,0.0
2.8,1784013026.062116,75.0,0.0,0.0,0.0,0.0,0.0
3.2674,1784013026.147028,75.0,0.0,0.0,0.0,0.0,0.0
3.5175,1784013026.3935797,75.0,0.33648493142164027,15.0,123.0,123.0,0.0
3.7676,1784013026.655015,75.0,0.33648493142164027,15.0,123.0,123.0,0.0
4.0177,1784013026.8586771,75.0,0.8395795104655864,26.0,112.0,112.0,0.0
4.2677,1784013027.1323667,75.0,0.8395795104655864,26.0,112.0,112.0,0.0
4.5178,1784013027.4085147,75.0,0.8395795104655864,26.0,112.0,112.0,0.0
4.7679,1784013027.6284833,75.0,0.8554411718968681,26.0,112.0,112.0,0.0
5.018,1784013027.9153924,75.0,0.8554411718968681,26.0,112.0,112.0,0.0
5.2681,1784013028.1226163,75.0,0.8713339346250739,26.0,112.0,112.0,0.0
5.5182,1784013028.4061577,75.0,0.8713339346250739,26.0,112.0,112.0,0.0
5.7683,1784013028.637162,75.0,0.8713339346250739,26.0,112.0,112.0,0.0
6.0183,1784013028.9832714,75.0,0.8872266973532796,27.0,111.0,111.0,0.0
6.2684,1784013029.1403081,75.0,0.8872266973532796,27.0,111.0,111.0,0.0
6.5185,1784013029.4047687,75.0,0.8872266973532796,27.0,111.0,111.0,0.0
6.7686,1784013029.632855,75.0,0.8872266973532796,27.0,111.0,111.0,0.0
7.0186,1784013029.9104748,75.0,0.9030883587845613,27.0,111.0,111.0,0.0
7.2687,1784013030.1541393,75.0,0.9030883587845613,27.0,111.0,111.0,0.0
7.5188,1784013030.4011486,75.0,0.9189811215127671,27.0,111.0,111.0,0.0
7.7689,1784013030.6502137,75.0,0.9189811215127671,27.0,111.0,111.0,0.0
8.019,1784013030.894118,75.0,0.9189811215127671,27.0,111.0,111.0,0.0
8.269,1784013031.1874096,75.0,0.9348427829440488,28.0,110.0,110.0,0.0
8.5191,1784013031.3958354,75.0,0.9348427829440488,28.0,110.0,110.0,0.0
8.7692,1784013031.6524813,75.0,0.9348427829440488,28.0,110.0,110.0,0.0
9.0193,1784013031.898751,75.0,0.9348427829440488,28.0,110.0,110.0,0.0
9.2694,1784013032.1920147,75.0,0.9507355456722545,28.0,110.0,110.0,0.0
9.5194,1784013032.390021,75.0,0.9507355456722545,28.0,110.0,110.0,0.0
9.7695,1784013032.689627,75.0,0.9667838148850807,28.0,110.0,110.0,0.0
10.0196,1784013032.9109929,75.0,0.9667838148850807,28.0,110.0,110.0,0.0
10.2697,1784013033.1885438,75.0,0.9667838148850807,28.0,110.0,110.0,0.0
10.5198,1784013033.4068902,75.0,0.9667838148850807,28.0,110.0,110.0,0.0
10.7699,1784013033.6900215,75.0,0.980966006282462,28.0,110.0,110.0,0.0
11.02,1784013033.8956857,75.0,0.980966006282462,28.0,110.0,110.0,0.0
11.27,1784013034.1417787,75.0,0.980966006282462,28.0,110.0,110.0,0.0
