rid,cls,input_len,output_len,arrival_t,send_t,ttft,e2e,tpot,output_tokens,ok,error
long-0000,long,25000,512,0.0,0.053105202969163656,1.0503349108621478,40.72076863376424,0.07763294270626632,512,1,
long-0001,long,25000,512,0.0,0.057861206121742725,0.5853061629459262,40.655514855869114,0.0784152811994583,512,1,
long-0002,long,25000,512,0.0,0.05906578013673425,0.6242139739915729,40.65527340583503,0.07833866816407722,512,1,
long-0003,long,25000,512,0.0,0.06021526176482439,1.0421469062566757,40.714275473263115,0.07763625942662708,512,1,
long-0004,long,25000,512,0.0,0.06134165916591883,2.9310451219789684,40.8701773067005,0.07424487707381904,512,1,
long-0005,long,25000,512,0.0,0.062484210822731256,1.0411473382264376,40.711571547202766,0.0776329240880163,512,1,
long-0006,long,25000,512,0.0,0.06360582076013088,2.930113974958658,40.86815833998844,0.07424274826816005,512,1,
long-0007,long,25000,512,0.0,0.06482900213450193,0.9963095267303288,40.707654303871095,0.07771300347777058,512,1,
long-0008,long,25000,512,0.0,0.06602109782397747,1.0377180608920753,40.70795387914404,0.07763255541732283,512,1,
long-0009,long,25000,512,0.0,0.06717689894139767,2.9208741150796413,40.863602416124195,0.07425191448345314,512,1,
long-0010,long,25000,512,0.0,0.0683911768719554,1.0356057961471379,40.70616991305724,0.0776331978804503,512,1,
long-0011,long,25000,512,0.0,0.06952925212681293,1.0343004618771374,40.704883626662195,0.07763323515613514,512,1,
long-0012,long,25000,512,0.0,0.07073078071698546,10.61118952743709,41.14205462532118,0.059747289819734026,512,1,
long-0013,long,25000,512,0.0,0.07186568109318614,10.617325264960527,42.44713304704055,0.06228925201972608,512,1,
long-0014,long,25000,512,0.0,0.07298318576067686,4.771111750043929,40.94047051016241,0.07078152399240407,512,1,
long-0015,long,25000,512,0.0,0.07411305792629719,10.615478354040533,41.13885116484016,0.05973262780978401,512,1,
long-0016,long,25000,512,0.0,0.07524477271363139,8.602203464135528,41.07643826818094,0.06355036165175226,512,1,
long-0017,long,25000,512,0.0,0.0763084371574223,6.692374809645116,41.013045731931925,0.06716373957394679,512,1,
short-0000,short,512,256,0.0,0.0774322310462594,1.281800186727196,25.44798078108579,0.09476933566415134,256,1,
short-0001,short,512,256,0.0,0.07755882013589144,1.0266925618052483,25.376374613959342,0.0954889492241337,256,1,
short-0002,short,512,256,0.0,0.07767291879281402,1.6858006222173572,26.195725445169955,0.09611735224687293,256,1,
short-0003,short,512,256,0.0,0.07780696917325258,1.0248724617995322,25.37859206693247,0.09550478276522721,256,1,
short-0004,short,512,256,0.0,0.07792659709230065,1.024883498903364,25.377992142923176,0.09550238683929338,256,1,
short-0005,short,512,256,0.0,0.0780473267659545,1.277470950037241,25.447515548206866,0.09478448862027304,256,1,
short-0006,short,512,256,0.0,0.07893479894846678,1.023983458057046,25.36499627912417,0.09545495223947892,256,1,
short-0007,short,512,256,0.0,0.07908439077436924,1.0248328330926597,25.376993146259338,0.09549866789477128,256,1,
short-0008,short,512,256,0.0,0.0792146548628807,1.0255626998841763,25.377336266916245,0.09549715124326301,256,1,
short-0009,short,512,256,0.0,0.07934360671788454,1.0236667874269187,25.374366524163634,0.09549294014406555,256,1,
short-0010,short,512,256,0.0,0.07946807285770774,1.0246157990768552,25.378108707256615,0.09550389375756768,256,1,
short-0011,short,512,256,0.0,0.07959771575406194,1.0235096123069525,25.377110690344125,0.09550431795308695,256,1,
short-0012,short,512,256,0.0,0.07971945684403181,1.0244524162262678,25.37584130000323,0.09549564268147828,256,1,
short-0013,short,512,256,0.0,0.07984987087547779,1.0244867582805455,25.37741081789136,0.09550166297886593,256,1,
short-0014,short,512,256,0.0,0.08002212783321738,1.0244034929201007,25.3774023251608,0.0955019562048655,256,1,
short-0015,short,512,256,0.0,0.08015202078968287,1.2789267981424928,25.444692535325885,0.0947677087732682,256,1,
short-0016,short,512,256,0.0,0.08026879513636231,1.2775944536551833,25.444722438696772,0.09477305092173172,256,1,
short-0017,short,512,256,0.0,0.08038849290460348,1.681147722993046,26.19731530221179,0.09614183364399508,256,1,
short-0018,short,512,256,0.0,0.0805223430506885,1.2774870027787983,25.420720945112407,0.09467934879346514,256,1,
short-0019,short,512,256,0.0,0.08064157981425524,1.2774646100588143,25.420413608197123,0.09467823136524826,256,1,
short-0020,short,512,256,0.0,0.08077390678226948,1.275394568219781,25.420626966282725,0.09468718587475665,256,1,
short-0021,short,512,256,0.0,0.080898632761091,1.275880211032927,25.44253873731941,0.09477120990700581,256,1,
short-0022,short,512,256,0.0,0.08105842117220163,1.022290175780654,25.36738203279674,0.09547094845888661,256,1,
short-0023,short,512,256,0.0,0.08118869503960013,1.2762830210849643,25.444511054083705,0.09477736483528917,256,1,
short-0024,short,512,256,0.0,0.08131285989657044,1.2756483652628958,25.44229519413784,0.0947711640348037,256,1,
short-0025,short,512,256,0.0,0.08143937774002552,1.2783273453824222,25.444412868004292,0.09476896283381125,256,1,
short-0026,short,512,256,0.0,0.08156367298215628,1.6840181979350746,26.187944007106125,0.09609382670263157,256,1,
