rid,cls,input_len,output_len,arrival_t,send_t,ttft,e2e,tpot,output_tokens,ok,error
long-0000,long,25000,512,0.0,0.05497216526418924,8.809817010071129,70.05663663102314,0.11985678986487673,512,1,
long-0001,long,25000,512,0.0,0.05909878620877862,6.418028473854065,67.40185147803277,0.11934211938195441,512,1,
long-0002,long,25000,512,0.0,0.06031586229801178,19.527677823789418,80.49378553405404,0.1193074514877977,512,1,
long-0003,long,25000,512,0.0,0.06147955823689699,2.9958808152005076,62.861897624097764,0.1171546317199555,512,1,
long-0004,long,25000,512,0.0,0.06261039525270462,1.0857911058701575,61.22273851186037,0.1176848285831511,512,1,
long-0005,long,25000,512,0.0,0.06378368521109223,4.3438431760296226,64.7046012361534,0.11812281420767862,512,1,
long-0006,long,25000,512,0.0,0.06491327006369829,13.945527381263673,75.70071257511154,0.12085163443023066,512,1,
long-0007,long,25000,512,0.0,0.06610078131780028,9.46645436808467,70.85947072692215,0.12014288915623773,512,1,
long-0008,long,25000,512,0.0,0.06723130820319057,8.797142162919044,70.04341394314542,0.11985571776952325,512,1,
long-0009,long,25000,512,0.0,0.06841575540602207,9.464809919707477,70.85738176200539,0.12014201926085696,512,1,
long-0010,long,25000,512,0.0,0.06965257041156292,11.670192099642009,73.44134891964495,0.12088289005871418,512,1,
long-0011,long,25000,512,0.0,0.07080606138333678,24.956791560631245,81.23127312399447,0.1101261870124525,512,1,
long-0012,long,25000,512,0.0,0.07199920108541846,67.38822246016935,97.54557940736413,0.05901635410409938,512,1,
long-0013,long,25000,512,0.0,0.07311511505395174,22.50320163415745,81.13246389711276,0.11473436842065618,512,1,
long-0014,long,25000,512,0.0,0.0742380702868104,16.4584657731466,77.45117029780522,0.11935950004825562,512,1,
long-0015,long,25000,512,0.0,0.0753736044280231,17.17287252098322,78.29957980662584,0.1196217363711206,512,1,
long-0016,long,25000,512,0.0,0.07644559210166335,72.61822820920497,97.69803735706955,0.04907986134611464,512,1,
long-0017,long,25000,512,0.0,0.07833542721346021,75.16414557117969,97.72281073685735,0.044146115784105024,512,1,
