rid,cls,input_len,output_len,arrival_t,send_t,ttft,e2e,tpot,output_tokens,ok,error
long-0000,long,25000,512,0.0,0.05358560802415013,12.663206012919545,53.899757160805166,0.08069775175711472,512,1,
long-0001,long,25000,512,0.0,0.05760355107486248,10.717794565018266,53.24401637678966,0.08322156910327083,512,1,
long-0002,long,25000,512,0.0,0.05879308981820941,1.4687131228856742,44.84876802004874,0.08489247533691402,512,1,
long-0003,long,25000,512,0.0,0.05995236383751035,1.4664469021372497,44.84560925792903,0.08489072868061014,512,1,
long-0004,long,25000,512,0.0,0.0610931608825922,8.809546071104705,51.16689432086423,0.08289109246528283,512,1,
long-0005,long,25000,512,0.0,0.06225323677062988,1.4642266891896725,44.84629567526281,0.08489641680249146,512,1,
long-0006,long,25000,512,0.0,0.06336387014016509,1.4639198337681592,44.84535849792883,0.08489518329581344,512,1,
long-0007,long,25000,512,0.0,0.06471542874351144,1.462649896275252,44.84346282435581,0.08489395876336704,512,1,
long-0008,long,25000,512,0.0,0.06591655500233173,3.2245230660773814,45.96748483879492,0.08364571775482883,512,1,
long-0009,long,25000,512,0.0,0.06704575475305319,1.4603958232328296,44.841867476236075,0.08489524785323531,512,1,
long-0010,long,25000,512,0.0,0.06824468774721026,1.458313604351133,44.838901608251035,0.08489351859862995,512,1,
long-0011,long,25000,512,0.0,0.06937853479757905,51.162174503318965,68.13844003994018,0.03322165467049161,512,1,
long-0012,long,25000,512,0.0,0.07055653678253293,1.4560707970522344,44.83781435107812,0.08489577994917004,512,1,
long-0013,long,25000,512,0.0,0.0716784461401403,3.218880691565573,45.961928591597825,0.08364588630143298,512,1,
long-0014,long,25000,512,0.0,0.07281248271465302,47.27460230514407,67.9962549651973,0.040551179373881065,512,1,
long-0015,long,25000,512,0.0,0.07393602514639497,3.2136167655698955,45.96047472162172,0.08365334237974917,512,1,
long-0016,long,25000,512,0.0,0.07505020312964916,3.213794618844986,45.95899566356093,0.08365009989181202,512,1,
long-0017,long,25000,512,0.0,0.07612017495557666,1.4514598180539906,44.83124396391213,0.08489194549091612,512,1,
long-0018,long,25000,512,0.0,0.07723267981782556,6.897257104981691,49.052910069935024,0.08249638545000652,512,1,
long-0019,long,25000,512,0.0,0.07836004812270403,53.228836881928146,68.17464610980824,0.029248158958669453,512,1,
long-0020,long,25000,512,0.0,0.07952445978298783,3.2094355220906436,45.95471099810675,0.08365024554993367,512,1,
long-0021,long,25000,512,0.0,0.08065005391836166,5.018297575879842,47.67153683118522,0.08347013552897335,512,1,
long-0022,long,25000,512,0.0,0.08171202475205064,14.356119561940432,58.682215253356844,0.08674382718476793,512,1,
short-0000,short,512,256,0.0,0.08283976279199123,0.9473941219039261,28.48466223431751,0.1079892867153474,256,1,
short-0001,short,512,256,0.0,0.08370909886434674,0.9466469972394407,28.490869446191937,0.10801655862334313,256,1,
short-0002,short,512,256,0.0,0.08386259572580457,0.94660316221416,28.489956165198237,0.10801314903131011,256,1,
short-0003,short,512,256,0.0,0.08399047469720244,0.9465766530483961,28.491502323187888,0.1080193163534882,256,1,
short-0004,short,512,256,0.0,0.08412773814052343,0.5989760649390519,28.422879435587674,0.10911334655156323,256,1,
short-0005,short,512,256,0.0,0.08425753004848957,0.9464647769927979,28.483489979989827,0.10798833412940011,256,1,
short-0006,short,512,256,0.0,0.08438328607007861,48.102431119885296,63.0316675780341,0.05854602532607375,256,1,
short-0007,short,512,256,0.0,0.08449954772368073,48.1024098880589,63.031647748313844,0.05854603082452919,256,1,
short-0008,short,512,256,0.0,0.08462277008220553,0.9462127746082842,28.48719903687015,0.10800386769514458,256,1,
short-0009,short,512,256,0.0,0.08479011710733175,47.26309091085568,62.95779577177018,0.0615478621996647,256,1,
short-0010,short,512,256,0.0,0.08492681896314025,47.264498975127935,62.957368119154125,0.06154066330990663,256,1,
short-0011,short,512,256,0.0,0.08505319571122527,48.09764184523374,63.02109475340694,0.05852334473793413,256,1,
short-0012,short,512,256,0.0,0.08517611771821976,0.9456984139978886,28.48883825307712,0.10801231309442835,256,1,
short-0013,short,512,256,0.0,0.08530585002154112,49.0432807370089,63.10848177084699,0.05515765111309056,256,1,
short-0014,short,512,256,0.0,0.08543639304116368,47.66591456485912,62.9897258230485,0.06009337748309561,256,1,
short-0015,short,512,256,0.0,0.0855631809681654,0.9453583010472357,28.488645567093045,0.10801289123939532,256,1,
short-0016,short,512,256,0.0,0.08569001778960228,47.262296316213906,62.9568298230879,0.06154719022303527,256,1,
short-0017,short,512,256,0.0,0.08585953898727894,0.9450987968593836,28.48853473411873,0.10801347426376214,256,1,
short-0018,short,512,256,0.0,0.0859891907311976,47.26356082735583,62.95713105937466,0.06154341267458364,256,1,
short-0019,short,512,256,0.0,0.08612161595374346,47.666408265940845,62.98517966689542,0.06007361333707676,256,1,
short-0020,short,512,256,0.0,0.08625236991792917,47.66343606822193,62.9878736929968,0.06009583382264656,256,1,
short-0021,short,512,256,0.0,0.08637834573164582,48.09932732908055,63.028807568363845,0.05854698133052272,256,1,
short-0022,short,512,256,0.0,0.08650429174304008,47.66612684028223,62.98487610835582,0.060073526541465055,256,1,
short-0023,short,512,256,0.0,0.08663003798574209,47.26149158598855,62.950697228778154,0.0615262966383906,256,1,
short-0024,short,512,256,0.0,0.08678623894229531,47.2614367948845,62.95064628403634,0.06152631172216406,256,1,
short-0025,short,512,256,0.0,0.08692538505420089,0.944077868014574,28.482070801779628,0.10799212915201982,256,1,
short-0026,short,512,256,0.0,0.08705612877383828,47.261282346211374,62.95370219508186,0.061538901368119556,256,1,
short-0027,short,512,256,0.0,0.08718699170276523,48.54317604005337,63.10163542116061,0.05709199757296957,256,1,
short-0028,short,512,256,0.0,0.08731758501380682,47.262338819913566,62.95586383482441,0.061543235352591555,256,1,
short-0029,short,512,256,0.0,0.0874414979480207,1.440373132005334,28.538386682979763,0.10626671980774285,256,1,
short-0030,short,512,256,0.0,0.08757051872089505,47.262197642121464,62.95480162417516,0.061539623459034104,256,1,
short-0031,short,512,256,0.0,0.0876967259682715,47.262181657832116,62.9550197259523,0.06154054144360856,256,1,
short-0032,short,512,256,0.0,0.08786752913147211,48.0992205417715,63.02837108261883,0.05854568839547973,256,1,
short-0033,short,512,256,0.0,0.08800902776420116,47.260473881382495,62.95504430308938,0.061547334987085825,256,1,
short-0034,short,512,256,0.0,0.08817358082160354,48.09790274314582,63.027570619247854,0.05854771716118443,256,1,
short-0035,short,512,256,0.0,0.08830821979790926,48.09540946409106,63.023498232942075,0.05854152458372946,256,1,
short-0036,short,512,256,0.0,0.08843833301216364,48.58686395268887,63.10003104805946,0.05691438076615918,256,1,
short-0037,short,512,256,0.0,0.0885645691305399,48.58891259459779,63.10067011369392,0.05690885301606328,256,1,
short-0038,short,512,256,0.0,0.08869773568585515,49.038414269220084,63.10499673709273,0.05516306850146137,256,1,
short-0039,short,512,256,0.0,0.08883836399763823,47.25999908987433,62.95394441578537,0.06154488363102371,256,1,
short-0040,short,512,256,0.0,0.08901391411200166,53.214553204830736,63.32418142259121,0.03964560085396264,256,1,
short-0041,short,512,256,0.0,0.08915271889418364,48.58626407617703,63.099437640979886,0.056914406136481785,256,1,
short-0042,short,512,256,0.0,0.08928512502461672,48.58962174411863,63.10004265606403,0.056903611419393735,256,1,
short-0043,short,512,256,0.0,0.08942296914756298,53.84550094557926,63.32614102261141,0.03717898069424372,256,1,
short-0044,short,512,256,0.0,0.08955925004556775,53.21112339105457,63.323722104076296,0.039657249854987156,256,1,
short-0045,short,512,256,0.0,0.08970636781305075,53.21106976130977,63.319751498289406,0.039641889164626014,256,1,
short-0046,short,512,256,0.0,0.089848468080163,48.58566561061889,63.09885417763144,0.05691446496867666,256,1,
short-0047,short,512,256,0.0,0.0900033270008862,47.26000868389383,62.952851249836385,0.06154055908212767,256,1,
short-0048,short,512,256,0.0,0.09018429508432746,48.09598410502076,63.0256698676385,0.05854778730438328,256,1,
short-0049,short,512,256,0.0,0.09033810207620263,47.662617860827595,62.98651872202754,0.06009372886745076,256,1,
short-0050,short,512,256,0.0,0.0904818051494658,53.65416395571083,63.3248961516656,0.03792443998413635,256,1,
short-0051,short,512,256,0.0,0.09061395982280374,48.58283227914944,63.09852253831923,0.056924275526156025,256,1,
short-0052,short,512,256,0.0,0.09075833391398191,0.8986468082293868,28.48260674579069,0.10817239191200512,256,1,
short-0053,short,512,256,0.0,0.09090479975566268,48.09223279636353,63.015408504288644,0.05852225767813769,256,1,
short-0054,short,512,256,0.0,0.09105901792645454,47.259066401049495,62.95138959819451,0.06153852234174516,256,1,
short-0055,short,512,256,0.0,0.09120887983590364,48.58663942292333,63.09821496298537,0.056908139372792314,256,1,
short-0056,short,512,256,0.0,0.09138998808339238,47.65734017174691,62.98280786070973,0.06009987329005027,256,1,
short-0057,short,512,256,0.0,0.09153449209406972,53.21641620295122,63.32182703074068,0.03962906206976257,256,1,
short-0058,short,512,256,0.0,0.09169416781514883,48.092148340307176,63.0233659199439,0.05855379442994793,256,1,
short-0059,short,512,256,0.0,0.09184097498655319,48.09459543181583,63.02411024086177,0.05854711689821938,256,1,
short-0060,short,512,256,0.0,0.09198845271021128,53.65442223008722,63.3234554012306,0.03791777714173876,256,1,
short-0061,short,512,256,0.0,0.09213875513523817,0.9389088726602495,28.48356769885868,0.10801826990666051,256,1,
short-0062,short,512,256,0.0,0.09227682976052165,47.65840712096542,62.98464165534824,0.060102880526991455,256,1,
short-0063,short,512,256,0.0,0.09243417205289006,53.21130681363866,63.31056177103892,0.039604921401569654,256,1,
short-0064,short,512,256,0.0,0.0926156910136342,48.5831783618778,63.09690037788823,0.05691655692553111,256,1,
short-0065,short,512,256,0.0,0.0927718817256391,47.660286132246256,62.97868065396324,0.060072135379282285,256,1,
short-0066,short,512,256,0.0,0.09293021587654948,47.25580011913553,62.94972041901201,0.06154478548971169,256,1,
short-0067,short,512,256,0.0,0.09308689786121249,47.65849185688421,62.981175957247615,0.060088957256327076,256,1,
short-0068,short,512,256,0.0,0.09324313886463642,47.660380081273615,62.98184549808502,0.06008417810514277,256,1,
short-0069,short,512,256,0.0,0.09338642098009586,53.21063192607835,63.312124975025654,0.0396136982311659,256,1,
short-0070,short,512,256,0.0,0.09353996813297272,53.640675058588386,63.3219654369168,0.037965844620895736,256,1,
short-0071,short,512,256,0.0,0.09369864175096154,47.657200367189944,62.97892257431522,0.060085185125981475,256,1,
short-0072,short,512,256,0.0,0.09390426613390446,0.9371848739683628,28.47969413874671,0.10800984025403274,256,1,
short-0073,short,512,256,0.0,0.0940632619895041,48.57982926815748,63.0955488900654,0.05692439067414871,256,1,
short-0074,short,512,256,0.0,0.09422235703095794,47.65593109885231,62.98275381280109,0.06010518711352465,256,1,
short-0075,short,512,256,0.0,0.09437374072149396,48.092976758256555,63.021957186982036,0.058545021289119537,256,1,
short-0076,short,512,256,0.0,0.09453957574442029,1.431107867974788,28.530938958283514,0.1062738474129754,256,1,
short-0077,short,512,256,0.0,0.0946915908716619,47.65632616402581,62.980534449219704,0.060094934451740745,256,1,
short-0078,short,512,256,0.0,0.09486305387690663,53.637730543967336,63.32025745185092,0.037970693756406215,256,1,
short-0079,short,512,256,0.0,0.09505750192329288,48.088998983148485,63.016865643206984,0.058540653568856856,256,1,
short-0080,short,512,256,0.0,0.09521961212158203,53.21026966068894,63.31821969570592,0.03963901974516464,256,1,
short-0081,short,512,256,0.0,0.09537306893616915,47.6583564481698,62.98125989316031,0.06008981743133535,256,1,
short-0082,short,512,256,0.0,0.09553554886952043,0.9355965941213071,28.47924803989008,0.10801431939517166,256,1,
short-0083,short,512,256,0.0,0.09569552587345243,0.9354787399061024,28.47928425297141,0.10801492358064826,256,1,
short-0084,short,512,256,0.0,0.09587039379402995,48.57825297722593,63.08961320808157,0.05690729502296331,256,1,
short-0085,short,512,256,0.0,0.09603461669757962,53.64084237907082,63.31958907330409,0.03795586938915007,256,1,
short-0086,short,512,256,0.0,0.09619897976517677,49.0270507610403,63.09739762824029,0.055177830851764656,256,1,
short-0087,short,512,256,0.0,0.09640310192480683,53.64346704306081,63.31927990587428,0.03794436416789597,256,1,
short-0088,short,512,256,0.0,0.0965731730684638,53.20644386205822,63.31300759501755,0.03963358326650718,256,1,
short-0089,short,512,256,0.0,0.09673845814540982,48.086513506714255,63.01167515385896,0.058530045675077275,256,1,
short-0090,short,512,256,0.0,0.09691221499815583,53.20504631381482,63.3165994300507,0.03965314947543483,256,1,
short-0091,short,512,256,0.0,0.09707736875861883,47.65678823925555,62.97821197519079,0.060084014650726436,256,1,
short-0092,short,512,256,0.0,0.09725488210096955,53.64430750673637,63.3184845498763,0.037937949188784056,256,1,
short-0093,short,512,256,0.0,0.09742371086031199,48.57910020183772,63.091503106057644,0.05691138393811736,256,1,
short-0094,short,512,256,0.0,0.0975888860411942,53.645921885967255,63.318218575790524,0.0379305752542089,256,1,
short-0095,short,512,256,0.0,0.09814519807696342,53.64052839577198,63.31543994601816,0.03794082960880855,256,1,
short-0096,short,512,256,0.0,0.09832858014851809,53.84289674879983,63.31809286074713,0.03715763181155803,256,1,
short-0097,short,512,256,0.0,0.09851147001609206,49.03085436997935,63.09540927782655,0.05515511728567528,256,1,
short-0098,short,512,256,0.0,0.09868429601192474,48.575561075937,63.09414713969454,0.056935631622578586,256,1,
short-0099,short,512,256,0.0,0.09885737206786871,48.58059022668749,63.09408201277256,0.056915654063078705,256,1,
short-0100,short,512,256,0.0,0.09903425304219127,53.83807824971154,63.31615785881877,0.03716893964355775,256,1,
short-0101,short,512,256,0.0,0.09920515585690737,53.63963130908087,63.316050350200385,0.03794674133772359,256,1,
short-0102,short,512,256,0.0,0.09936597384512424,53.8389429198578,63.31595135293901,0.03716473895325965,256,1,
short-0103,short,512,256,0.0,0.09957581385970116,53.635339037980884,63.31628929404542,0.037964510808096215,256,1,
short-0104,short,512,256,0.0,0.09975241497159004,48.57687548175454,63.089282592758536,0.05691140043530978,256,1,
short-0105,short,512,256,0.0,0.09993462497368455,53.84539238316938,63.31642557494342,0.037141306634408004,256,1,
short-0106,short,512,256,0.0,0.10010518692433834,48.0832743360661,63.01193108595908,0.058543751960364626,256,1,
short-0107,short,512,256,0.0,0.10028145788237453,53.64761813823134,63.31337705394253,0.037904936924357625,256,1,
short-0108,short,512,256,0.0,0.10047003673389554,53.63852407131344,63.31326558906585,0.03794016281471533,256,1,
short-0109,short,512,256,0.0,0.1006412198767066,53.641208824235946,63.313177689909935,0.03792928966930976,256,1,
short-0110,short,512,256,0.0,0.10081797093153,48.57873306097463,63.092222915031016,0.05691564648649564,256,1,
short-0111,short,512,256,0.0,0.10102580906823277,53.64276155177504,63.31198403285816,0.037918519533659316,256,1,
short-0112,short,512,256,0.0,0.10120691591873765,53.638955630827695,63.311900179833174,0.037933115878452855,256,1,
short-0113,short,512,256,0.0,0.10138412797823548,53.202901483979076,63.30793506279588,0.03962758266202667,256,1,
short-0114,short,512,256,0.0,0.10155982803553343,47.64880350790918,62.97379812784493,0.060098018117395104,256,1,
