rid,cls,input_len,output_len,arrival_t,send_t,ttft,e2e,tpot,output_tokens,ok,error
long-0000,long,25000,512,0.0,0.05268076481297612,5.8786348211579025,61.14981787605211,0.1081627848432372,512,1,
long-0001,long,25000,512,0.0,0.057678901590406895,7.614129938185215,61.3268627920188,0.10511298014448843,512,1,
long-0002,long,25000,512,0.0,0.05949233891442418,4.203071232885122,60.97645584773272,0.11110251392338082,512,1,
long-0003,long,25000,512,0.0,0.06066567776724696,7.611340144183487,61.32499438384548,0.10511478324787082,512,1,
long-0004,long,25000,512,0.0,0.06181183597072959,2.6112220897339284,60.68626577081159,0.11364979193948661,512,1,
long-0005,long,25000,512,0.0,0.06296433368697762,5.868513032328337,61.13980684103444,0.10816300158259512,512,1,
long-0006,long,25000,512,0.0,0.06411452870815992,12.804912046063691,61.65542395832017,0.09559787066977785,512,1,
long-0007,long,25000,512,0.0,0.06531752087175846,7.6071612518280745,61.31935126101598,0.10511191782619943,512,1,
long-0008,long,25000,512,0.0,0.06651338282972574,11.020312564913183,61.54191523278132,0.09886810698212943,512,1,
long-0009,long,25000,512,0.0,0.06764146499335766,7.604922273661941,61.31791230896488,0.1051134834350351,512,1,
long-0010,long,25000,512,0.0,0.06886324472725391,14.607909905258566,61.74284048797563,0.0922405686550236,512,1,
long-0011,long,25000,512,0.0,0.06999633461236954,26.610566282179207,64.14218331407756,0.07344739145185587,512,1,
long-0012,long,25000,512,0.0,0.07120110001415014,9.272653315681964,61.43360632658005,0.10207622898414498,512,1,
long-0013,long,25000,512,0.0,0.07237828383222222,24.806233481038362,62.23547272384167,0.07324704352799082,512,1,
long-0014,long,25000,512,0.0,0.07352095795795321,22.82959971483797,62.16187116596848,0.07697117700808319,512,1,
long-0015,long,25000,512,0.0,0.07465917384251952,20.911015887744725,62.10705662891269,0.08061847503163985,512,1,
long-0016,long,25000,512,0.0,0.07576832780614495,44.942101133055985,66.57711893785745,0.042338586702155505,512,1,
long-0017,long,25000,512,0.0,0.07681908458471298,14.600922250188887,61.73368838522583,0.09223633294527778,512,1,
long-0018,long,25000,512,0.0,0.07794114761054516,18.982108374126256,61.99871999118477,0.0841812360412104,512,1,
long-0019,long,25000,512,0.0,0.07907161302864552,46.850485348608345,66.62200250755996,0.03869181440107947,512,1,
short-0000,short,512,256,0.0,0.08028382901102304,14.96504673268646,41.31294486578554,0.1033250907180356,256,1,
short-0001,short,512,256,0.0,0.08042112272232771,0.5502091371454298,39.66505664726719,0.1533915588632226,256,1,
short-0002,short,512,256,0.0,0.08056693896651268,15.785057224798948,42.09455751394853,0.1031745109378415,256,1,
short-0003,short,512,256,0.0,0.08069270476698875,15.344388118945062,41.376291742082685,0.10208589656132401,256,1,
short-0004,short,512,256,0.0,0.08151801768690348,15.348229312337935,41.37709481222555,0.10207398235250045,256,1,
short-0005,short,512,256,0.0,0.08167125470936298,14.596259671263397,41.235296874307096,0.10446681256095568,256,1,
short-0006,short,512,256,0.0,0.08180339075624943,15.348024749197066,41.37695161998272,0.10207422302268884,256,1,
short-0007,short,512,256,0.0,0.08193368371576071,7.5902775432914495,40.48249517707154,0.12898908875992193,256,1,
short-0008,short,512,256,0.0,0.08205667557194829,14.96173995314166,41.306069476064295,0.10331109616832405,256,1,
short-0009,short,512,256,0.0,0.08217881666496396,14.961142728105187,41.31006284523755,0.1033290984985583,256,1,
short-0010,short,512,256,0.0,0.08229618100449443,15.78491320181638,42.09402434481308,0.10317298487449686,256,1,
short-0011,short,512,256,0.0,0.08241985365748405,15.343842922244221,41.37518402095884,0.1020836905831946,256,1,
short-0012,short,512,256,0.0,0.08258906472474337,14.59553087130189,41.234172557946295,0.10446526151625257,256,1,
